|                    Item name                    |                                                                                     Input Items                                                                                      |                                                                                     Output Items                                                                                     | GP Cost |
|                                 Dark bow (blue) |                                                                         1x Blue dark bow paint, 1x Dark bow                                                                          | 1x Dark bow (blue)                                                                                                                                                                   |       0 |
|                          Revert dark bow (blue) |                                                                                  1x Dark bow (blue)                                                                                  | 1x Dark bow                                                                                                                                                                          |       0 |
|                               Dark bow (yellow) |                                                                        1x Dark bow, 1x Yellow dark bow paint                                                                         | 1x Dark bow (yellow)                                                                                                                                                                 |       0 |
|                        Revert dark bow (yellow) |                                                                                 1x Dark bow (yellow)                                                                                 | 1x Dark bow                                                                                                                                                                          |       0 |
|                                Dark bow (white) |                                                                         1x Dark bow, 1x White dark bow paint                                                                         | 1x Dark bow (white)                                                                                                                                                                  |       0 |
|                         Revert dark bow (white) |                                                                                 1x Dark bow (white)                                                                                  | 1x Dark bow                                                                                                                                                                          |       0 |
|                           Volcanic abyssal whip |                                                                        1x Abyssal whip, 1x Volcanic whip mix                                                                         | 1x Volcanic abyssal whip                                                                                                                                                             |       0 |
|                    Revert volcanic abyssal whip |                                                                               1x Volcanic abyssal whip                                                                               | 1x Abyssal whip                                                                                                                                                                      |       0 |
|                             Frozen abyssal whip |                                                                         1x Abyssal whip, 1x Frozen whip mix                                                                          | 1x Frozen abyssal whip                                                                                                                                                               |       0 |
|                      Revert frozen abyssal whip |                                                                                1x Frozen abyssal whip                                                                                | 1x Abyssal whip                                                                                                                                                                      |       0 |
|                                Staff of balance |                                                                       1x Guthixian icon, 1x Staff of the dead                                                                        | 1x Staff of balance                                                                                                                                                                  |       0 |
|                       Saradomin's blessed sword |                                                                       1x Saradomin sword, 1x Saradomin's tear                                                                        | 1x Saradomin's blessed sword                                                                                                                                                         |       0 |
|                              Magic shortbow (i) |                                                                     1x Magic shortbow, 1x Magic shortbow scroll                                                                      | 1x Magic shortbow (i)                                                                                                                                                                |       0 |
|                                     Looting bag |                                                                                 1x Looting bag note                                                                                  | 1x Looting bag                                                                                                                                                                       |       0 |
|                                      Rune pouch |                                                                                  1x Rune pouch note                                                                                  | 1x Rune pouch                                                                                                                                                                        |       0 |
|                                Mystic air staff |                                                                                  1x Air battlestaff                                                                                  | 1x Mystic air staff                                                                                                                                                                  |   40000 |
|                              Mystic water staff |                                                                                 1x Water battlestaff                                                                                 | 1x Mystic water staff                                                                                                                                                                |   40000 |
|                              Mystic earth staff |                                                                                 1x Earth battlestaff                                                                                 | 1x Mystic earth staff                                                                                                                                                                |   40000 |
|                               Mystic fire staff |                                                                                 1x Fire battlestaff                                                                                  | 1x Mystic fire staff                                                                                                                                                                 |   40000 |
|                               Mystic dust staff |                                                                                 1x Dust battlestaff                                                                                  | 1x Mystic dust staff                                                                                                                                                                 |   40000 |
|                               Mystic lava staff |                                                                                 1x Lava battlestaff                                                                                  | 1x Mystic lava staff                                                                                                                                                                 |   40000 |
|                          Mystic lava staff (or) |                                                                               1x Lava battlestaff (or)                                                                               | 1x Mystic lava staff (or)                                                                                                                                                            |   40000 |
|                               Mystic mist staff |                                                                                 1x Mist battlestaff                                                                                  | 1x Mystic mist staff                                                                                                                                                                 |   40000 |
|                                Mystic mud staff |                                                                                  1x Mud battlestaff                                                                                  | 1x Mystic mud staff                                                                                                                                                                  |   40000 |
|                              Mystic smoke staff |                                                                                 1x Smoke battlestaff                                                                                 | 1x Mystic smoke staff                                                                                                                                                                |   40000 |
|                              Mystic steam staff |                                                                                 1x Steam battlestaff                                                                                 | 1x Mystic steam staff                                                                                                                                                                |   40000 |
|                         Mystic steam staff (or) |                                                                              1x Steam battlestaff (or)                                                                               | 1x Mystic steam staff (or)                                                                                                                                                           |   40000 |
|                        Revert bandos chestplate |                                                                                 1x Bandos chestplate                                                                                 | 3x Bandosian components                                                                                                                                                              |       0 |
|                           Revert bandos tassets |                                                                                  1x Bandos tassets                                                                                   | 2x Bandosian components                                                                                                                                                              |       0 |
|                                 Torva full helm |                                                                1x Bandosian components, 1x Torva full helm (damaged)                                                                 | 1x Torva full helm                                                                                                                                                                   |       0 |
|                                 Torva platebody |                                                                2x Bandosian components, 1x Torva platebody (damaged)                                                                 | 1x Torva platebody                                                                                                                                                                   |       0 |
|                                 Torva platelegs |                                                                2x Bandosian components, 1x Torva platelegs (damaged)                                                                 | 1x Torva platelegs                                                                                                                                                                   |       0 |
|                                Ancient godsword |                                                                          1x Ancient hilt, 1x Godsword blade                                                                          | 1x Ancient godsword                                                                                                                                                                  |       0 |
|                                 Zaryte crossbow |                                                                 1x Armadyl crossbow, 1x Nihil horn, 250x Nihil shard                                                                 | 1x Zaryte crossbow                                                                                                                                                                   |       0 |
|                      Revert crystal weapon seed |                                                                                1x Crystal weapon seed                                                                                | 10x Crystal shard                                                                                                                                                                    |       0 |
|                        Revert crystal tool seed |                                                                                 1x Crystal tool seed                                                                                 | 100x Crystal shard                                                                                                                                                                   |       0 |
|           Revert enhanced crystal teleport seed |                                                                          1x Enhanced crystal teleport seed                                                                           | 150x Crystal shard                                                                                                                                                                   |       0 |
|                      Revert crystal armour seed |                                                                                1x Crystal armour seed                                                                                | 250x Crystal shard                                                                                                                                                                   |       0 |
|             Revert enhanced crystal weapon seed |                                                                           1x Enhanced crystal weapon seed                                                                            | 1.5k Crystal shard                                                                                                                                                                   |       0 |
|                         Golden prospector boots |                                                                        1x Prospector boots, 1x Star fragment                                                                         | 1x Golden prospector boots                                                                                                                                                           |       0 |
|                        Golden prospector helmet |                                                                        1x Prospector helmet, 1x Star fragment                                                                        | 1x Golden prospector helmet                                                                                                                                                          |       0 |
|                        Golden prospector jacket |                                                                        1x Prospector jacket, 1x Star fragment                                                                        | 1x Golden prospector jacket                                                                                                                                                          |       0 |
|                          Golden prospector legs |                                                                         1x Prospector legs, 1x Star fragment                                                                         | 1x Golden prospector legs                                                                                                                                                            |       0 |
|                                 Dragon axe (or) |                                                                   1x Dragon axe, 1x Trailblazer tool ornament kit                                                                    | 1x Dragon axe (or)                                                                                                                                                                   |       0 |
|                          Revert Dragon axe (or) |                                                                                  1x Dragon axe (or)                                                                                  | 1x Dragon axe, 1x Trailblazer tool ornament kit                                                                                                                                      |       0 |
|                             Dragon harpoon (or) |                                                                 1x Dragon harpoon, 1x Trailblazer tool ornament kit                                                                  | 1x Dragon harpoon (or)                                                                                                                                                               |       0 |
|                      Revert Dragon harpoon (or) |                                                                                1x Dragon harpoon (or)                                                                                | 1x Dragon harpoon, 1x Trailblazer tool ornament kit                                                                                                                                  |       0 |
|                               Infernal axe (or) |                                                                  1x Infernal axe, 1x Trailblazer tool ornament kit                                                                   | 1x Infernal axe (or)                                                                                                                                                                 |       0 |
|                        Revert Infernal axe (or) |                                                                                 1x Infernal axe (or)                                                                                 | 1x Infernal axe, 1x Trailblazer tool ornament kit                                                                                                                                    |       0 |
|                           Infernal harpoon (or) |                                                                1x Infernal harpoon, 1x Trailblazer tool ornament kit                                                                 | 1x Infernal harpoon (or)                                                                                                                                                             |       0 |
|                    Revert Infernal harpoon (or) |                                                                               1x Infernal harpoon (or)                                                                               | 1x Infernal harpoon, 1x Trailblazer tool ornament kit                                                                                                                                |       0 |
|                           Infernal pickaxe (or) |                                                                1x Infernal pickaxe, 1x Trailblazer tool ornament kit                                                                 | 1x Infernal pickaxe (or)                                                                                                                                                             |       0 |
|                    Revert Infernal pickaxe (or) |                                                                               1x Infernal pickaxe (or)                                                                               | 1x Infernal pickaxe, 1x Trailblazer tool ornament kit                                                                                                                                |       0 |
|               Dragon pickaxe (or) (Trailblazer) |                                                                 1x Dragon pickaxe, 1x Trailblazer tool ornament kit                                                                  | 1x Dragon pickaxe (or) (Trailblazer)                                                                                                                                                 |       0 |
|        Revert Dragon pickaxe (or) (Trailblazer) |                                                                         1x Dragon pickaxe (or) (Trailblazer)                                                                         | 1x Dragon pickaxe, 1x Trailblazer tool ornament kit                                                                                                                                  |       0 |
|                           Abyssal tentacle (or) |                                                            1x Abyssal tentacle, 1x Shattered relics variety ornament kit                                                             | 1x Abyssal tentacle (or)                                                                                                                                                             |       0 |
|                    Revert Abyssal tentacle (or) |                                                                               1x Abyssal tentacle (or)                                                                               | 1x Abyssal tentacle, 1x Shattered relics variety ornament kit                                                                                                                        |       0 |
|                               Abyssal whip (or) |                                                              1x Abyssal whip, 1x Shattered relics variety ornament kit                                                               | 1x Abyssal whip (or)                                                                                                                                                                 |       0 |
|                        Revert Abyssal whip (or) |                                                                                 1x Abyssal whip (or)                                                                                 | 1x Abyssal whip, 1x Shattered relics variety ornament kit                                                                                                                            |       0 |
|                            Book of balance (or) |                                                             1x Book of balance, 1x Shattered relics variety ornament kit                                                             | 1x Book of balance (or)                                                                                                                                                              |       0 |
|                     Revert Book of balance (or) |                                                                               1x Book of balance (or)                                                                                | 1x Book of balance, 1x Shattered relics variety ornament kit                                                                                                                         |       0 |
|                           Book of darkness (or) |                                                            1x Book of darkness, 1x Shattered relics variety ornament kit                                                             | 1x Book of darkness (or)                                                                                                                                                             |       0 |
|                    Revert Book of darkness (or) |                                                                               1x Book of darkness (or)                                                                               | 1x Book of darkness, 1x Shattered relics variety ornament kit                                                                                                                        |       0 |
|                                Book of law (or) |                                                               1x Book of law, 1x Shattered relics variety ornament kit                                                               | 1x Book of law (or)                                                                                                                                                                  |       0 |
|                         Revert Book of law (or) |                                                                                 1x Book of law (or)                                                                                  | 1x Book of law, 1x Shattered relics variety ornament kit                                                                                                                             |       0 |
|                                Book of war (or) |                                                               1x Book of war, 1x Shattered relics variety ornament kit                                                               | 1x Book of war (or)                                                                                                                                                                  |       0 |
|                         Revert Book of war (or) |                                                                                 1x Book of war (or)                                                                                  | 1x Book of war, 1x Shattered relics variety ornament kit                                                                                                                             |       0 |
|                                  Holy book (or) |                                                                1x Holy book, 1x Shattered relics variety ornament kit                                                                | 1x Holy book (or)                                                                                                                                                                    |       0 |
|                           Revert Holy book (or) |                                                                                  1x Holy book (or)                                                                                   | 1x Holy book, 1x Shattered relics variety ornament kit                                                                                                                               |       0 |
|                                Unholy book (or) |                                                               1x Shattered relics variety ornament kit, 1x Unholy book                                                               | 1x Unholy book (or)                                                                                                                                                                  |       0 |
|                         Revert Unholy book (or) |                                                                                 1x Unholy book (or)                                                                                  | 1x Shattered relics variety ornament kit, 1x Unholy book                                                                                                                             |       0 |
|                              Rune crossbow (or) |                                                              1x Rune crossbow, 1x Shattered relics variety ornament kit                                                              | 1x Rune crossbow (or)                                                                                                                                                                |       0 |
|                       Revert Rune crossbow (or) |                                                                                1x Rune crossbow (or)                                                                                 | 1x Rune crossbow, 1x Shattered relics variety ornament kit                                                                                                                           |       0 |
|                            Elite void robe (or) |                                                              1x Elite void robe, 1x Shattered relics void ornament kit                                                               | 1x Elite void robe (or)                                                                                                                                                              |       0 |
|                     Revert Elite void robe (or) |                                                                               1x Elite void robe (or)                                                                                | 1x Elite void robe, 1x Shattered relics void ornament kit                                                                                                                            |       0 |
|                             Elite void top (or) |                                                               1x Elite void top, 1x Shattered relics void ornament kit                                                               | 1x Elite void top (or)                                                                                                                                                               |       0 |
|                     Revert Elite void top (or)) |                                                                                1x Elite void top (or)                                                                                | 1x Elite void top, 1x Shattered relics void ornament kit                                                                                                                             |       0 |
|                         Void knight gloves (or) |                                                             1x Shattered relics void ornament kit, 1x Void knight gloves                                                             | 1x Void knight gloves (or)                                                                                                                                                           |       0 |
|                  Revert Void knight gloves (or) |                                                                              1x Void knight gloves (or)                                                                              | 1x Shattered relics void ornament kit, 1x Void knight gloves                                                                                                                         |       0 |
|                            Void knight top (or) |                                                              1x Shattered relics void ornament kit, 1x Void knight top                                                               | 1x Void knight top (or)                                                                                                                                                              |       0 |
|                     Revert Void knight top (or) |                                                                               1x Void knight top (or)                                                                                | 1x Shattered relics void ornament kit, 1x Void knight top                                                                                                                            |       0 |
|                           Void knight robe (or) |                                                              1x Shattered relics void ornament kit, 1x Void knight robe                                                              | 1x Void knight robe (or)                                                                                                                                                             |       0 |
|                    Revert Void knight robe (or) |                                                                               1x Void knight robe (or)                                                                               | 1x Shattered relics void ornament kit, 1x Void knight robe                                                                                                                           |       0 |
|                             Void mage helm (or) |                                                               1x Shattered relics void ornament kit, 1x Void mage helm                                                               | 1x Void mage helm (or)                                                                                                                                                               |       0 |
|                      Revert Void mage helm (or) |                                                                                1x Void mage helm (or)                                                                                | 1x Shattered relics void ornament kit, 1x Void mage helm                                                                                                                             |       0 |
|                            Void melee helm (or) |                                                              1x Shattered relics void ornament kit, 1x Void melee helm                                                               | 1x Void melee helm (or)                                                                                                                                                              |       0 |
|                     Revert Void melee helm (or) |                                                                               1x Void melee helm (or)                                                                                | 1x Shattered relics void ornament kit, 1x Void melee helm                                                                                                                            |       0 |
|                           Void ranger helm (or) |                                                              1x Shattered relics void ornament kit, 1x Void ranger helm                                                              | 1x Void ranger helm (or)                                                                                                                                                             |       0 |
|                    Revert Void ranger helm (or) |                                                                               1x Void ranger helm (or)                                                                               | 1x Shattered relics void ornament kit, 1x Void ranger helm                                                                                                                           |       0 |
|                             Cannon barrels (or) |                                                                 1x Cannon barrels, 1x Shattered cannon ornament kit                                                                  | 1x Cannon barrels (or)                                                                                                                                                               |       0 |
|                      Revert Cannon barrels (or) |                                                                                1x Cannon barrels (or)                                                                                | 1x Cannon barrels, 1x Shattered cannon ornament kit                                                                                                                                  |       0 |
|                                Cannon base (or) |                                                                   1x Cannon base, 1x Shattered cannon ornament kit                                                                   | 1x Cannon base (or)                                                                                                                                                                  |       0 |
|                         Revert Cannon base (or) |                                                                                 1x Cannon base (or)                                                                                  | 1x Cannon base, 1x Shattered cannon ornament kit                                                                                                                                     |       0 |
|                             Cannon furnace (or) |                                                                 1x Cannon furnace, 1x Shattered cannon ornament kit                                                                  | 1x Cannon furnace (or)                                                                                                                                                               |       0 |
|                      Revert Cannon furnace (or) |                                                                                1x Cannon furnace (or)                                                                                | 1x Cannon furnace, 1x Shattered cannon ornament kit                                                                                                                                  |       0 |
|                               Cannon stand (or) |                                                                  1x Cannon stand, 1x Shattered cannon ornament kit                                                                   | 1x Cannon stand (or)                                                                                                                                                                 |       0 |
|                        Revert Cannon stand (or) |                                                                                 1x Cannon stand (or)                                                                                 | 1x Cannon stand, 1x Shattered cannon ornament kit                                                                                                                                    |       0 |
|                               Mystic boots (or) |                                                               1x Mystic boots, 1x Shattered relics mystic ornament kit                                                               | 1x Mystic boots (or)                                                                                                                                                                 |       0 |
|                        Revert Mystic boots (or) |                                                                                 1x Mystic boots (or)                                                                                 | 1x Mystic boots, 1x Shattered relics mystic ornament kit                                                                                                                             |       0 |
|                              Mystic gloves (or) |                                                              1x Mystic gloves, 1x Shattered relics mystic ornament kit                                                               | 1x Mystic gloves (or)                                                                                                                                                                |       0 |
|                       Revert Mystic gloves (or) |                                                                                1x Mystic gloves (or)                                                                                 | 1x Mystic gloves, 1x Shattered relics mystic ornament kit                                                                                                                            |       0 |
|                                 Mystic hat (or) |                                                                1x Mystic hat, 1x Shattered relics mystic ornament kit                                                                | 1x Mystic hat (or)                                                                                                                                                                   |       0 |
|                          Revert Mystic hat (or) |                                                                                  1x Mystic hat (or)                                                                                  | 1x Mystic hat, 1x Shattered relics mystic ornament kit                                                                                                                               |       0 |
|                         Mystic robe bottom (or) |                                                            1x Mystic robe bottom, 1x Shattered relics mystic ornament kit                                                            | 1x Mystic robe bottom (or)                                                                                                                                                           |       0 |
|                  Revert Mystic robe bottom (or) |                                                                              1x Mystic robe bottom (or)                                                                              | 1x Mystic robe bottom, 1x Shattered relics mystic ornament kit                                                                                                                       |       0 |
|                            Mystic robe top (or) |                                                             1x Mystic robe top, 1x Shattered relics mystic ornament kit                                                              | 1x Mystic robe top (or)                                                                                                                                                              |       0 |
